Fecha,Producto,Demanda_Diaria
2025-10-03,Cafe_Grano_1kg,16
2025-10-03,Vasos_Descartables_8oz,207
2025-10-03,Leche_Almendra_1L,28
2025-10-03,Azucar_Blanca_500g,9
2025-10-03,Jarabe_Vainilla,0
2025-10-04,Cafe_Grano_1kg,18
2025-10-04,Vasos_Descartables_8oz,209
2025-10-04,Leche_Almendra_1L,23
2025-10-04,Azucar_Blanca_500g,6
2025-10-04,Jarabe_Vainilla,5
2025-10-05,Cafe_Grano_1kg,22
2025-10-05,Vasos_Descartables_8oz,189
2025-10-05,Leche_Almendra_1L,27
2025-10-05,Azucar_Blanca_500g,2
2025-10-05,Jarabe_Vainilla,1
2025-10-06,Cafe_Grano_1kg,10
2025-10-06,Vasos_Descartables_8oz,185
2025-10-06,Leche_Almendra_1L,38
2025-10-06,Azucar_Blanca_500g,3
2025-10-06,Jarabe_Vainilla,1
2025-10-07,Cafe_Grano_1kg,11
2025-10-07,Vasos_Descartables_8oz,181
2025-10-07,Leche_Almendra_1L,25
2025-10-07,Azucar_Blanca_500g,5
2025-10-07,Jarabe_Vainilla,2
2025-10-08,Cafe_Grano_1kg,12
2025-10-08,Vasos_Descartables_8oz,211
2025-10-08,Leche_Almendra_1L,25
2025-10-08,Azucar_Blanca_500g,5
2025-10-08,Jarabe_Vainilla,4
2025-10-09,Cafe_Grano_1kg,9
2025-10-09,Vasos_Descartables_8oz,201
2025-10-09,Leche_Almendra_1L,26
2025-10-09,Azucar_Blanca_500g,1
2025-10-09,Jarabe_Vainilla,2
2025-10-10,Cafe_Grano_1kg,21
2025-10-10,Vasos_Descartables_8oz,207
2025-10-10,Leche_Almendra_1L,30
2025-10-10,Azucar_Blanca_500g,5
2025-10-10,Jarabe_Vainilla,3
2025-10-11,Cafe_Grano_1kg,12
2025-10-11,Vasos_Descartables_8oz,183
2025-10-11,Leche_Almendra_1L,24
2025-10-11,Azucar_Blanca_500g,3
2025-10-11,Jarabe_Vainilla,3
2025-10-12,Cafe_Grano_1kg,12
2025-10-12,Vasos_Descartables_8oz,207
2025-10-12,Leche_Almendra_1L,31
2025-10-12,Azucar_Blanca_500g,4
2025-10-12,Jarabe_Vainilla,2
2025-10-13,Cafe_Grano_1kg,16
2025-10-13,Vasos_Descartables_8oz,203
2025-10-13,Leche_Almendra_1L,30
2025-10-13,Azucar_Blanca_500g,2
2025-10-13,Jarabe_Vainilla,2
2025-10-14,Cafe_Grano_1kg,19
2025-10-14,Vasos_Descartables_8oz,208
2025-10-14,Leche_Almendra_1L,31
2025-10-14,Azucar_Blanca_500g,8
2025-10-14,Jarabe_Vainilla,1
2025-10-15,Cafe_Grano_1kg,16
2025-10-15,Vasos_Descartables_8oz,182
2025-10-15,Leche_Almendra_1L,25
2025-10-15,Azucar_Blanca_500g,6
2025-10-15,Jarabe_Vainilla,4
2025-10-16,Cafe_Grano_1kg,18
2025-10-16,Vasos_Descartables_8oz,188
2025-10-16,Leche_Almendra_1L,28
2025-10-16,Azucar_Blanca_500g,6
2025-10-16,Jarabe_Vainilla,5
2025-10-17,Cafe_Grano_1kg,13
2025-10-17,Vasos_Descartables_8oz,211
2025-10-17,Leche_Almendra_1L,31
2025-10-17,Azucar_Blanca_500g,5
2025-10-17,Jarabe_Vainilla,2
2025-10-18,Cafe_Grano_1kg,12
2025-10-18,Vasos_Descartables_8oz,209
2025-10-18,Leche_Almendra_1L,33
2025-10-18,Azucar_Blanca_500g,5
2025-10-18,Jarabe_Vainilla,3
2025-10-19,Cafe_Grano_1kg,15
2025-10-19,Vasos_Descartables_8oz,227
2025-10-19,Leche_Almendra_1L,33
2025-10-19,Azucar_Blanca_500g,7
2025-10-19,Jarabe_Vainilla,5
2025-10-20,Cafe_Grano_1kg,16
2025-10-20,Vasos_Descartables_8oz,170
2025-10-20,Leche_Almendra_1L,35
2025-10-20,Azucar_Blanca_500g,6
2025-10-20,Jarabe_Vainilla,2
2025-10-21,Cafe_Grano_1kg,10
2025-10-21,Vasos_Descartables_8oz,200
2025-10-21,Leche_Almendra_1L,39
2025-10-21,Azucar_Blanca_500g,2
2025-10-21,Jarabe_Vainilla,3
2025-10-22,Cafe_Grano_1kg,14
2025-10-22,Vasos_Descartables_8oz,204
2025-10-22,Leche_Almendra_1L,34
2025-10-22,Azucar_Blanca_500g,3
2025-10-22,Jarabe_Vainilla,2
2025-10-23,Cafe_Grano_1kg,18
2025-10-23,Vasos_Descartables_8oz,201
2025-10-23,Leche_Almendra_1L,28
2025-10-23,Azucar_Blanca_500g,5
2025-10-23,Jarabe_Vainilla,2
2025-10-24,Cafe_Grano_1kg,10
2025-10-24,Vasos_Descartables_8oz,207
2025-10-24,Leche_Almendra_1L,25
2025-10-24,Azucar_Blanca_500g,2
2025-10-24,Jarabe_Vainilla,3
2025-10-25,Cafe_Grano_1kg,9
2025-10-25,Vasos_Descartables_8oz,209
2025-10-25,Leche_Almendra_1L,36
2025-10-25,Azucar_Blanca_500g,4
2025-10-25,Jarabe_Vainilla,1
2025-10-26,Cafe_Grano_1kg,16
2025-10-26,Vasos_Descartables_8oz,221
2025-10-26,Leche_Almendra_1L,27
2025-10-26,Azucar_Blanca_500g,6
2025-10-26,Jarabe_Vainilla,3
2025-10-27,Cafe_Grano_1kg,20
2025-10-27,Vasos_Descartables_8oz,221
2025-10-27,Leche_Almendra_1L,29
2025-10-27,Azucar_Blanca_500g,4
2025-10-27,Jarabe_Vainilla,4
2025-10-28,Cafe_Grano_1kg,9
2025-10-28,Vasos_Descartables_8oz,190
2025-10-28,Leche_Almendra_1L,32
2025-10-28,Azucar_Blanca_500g,1
2025-10-28,Jarabe_Vainilla,4
2025-10-29,Cafe_Grano_1kg,17
2025-10-29,Vasos_Descartables_8oz,223
2025-10-29,Leche_Almendra_1L,28
2025-10-29,Azucar_Blanca_500g,2
2025-10-29,Jarabe_Vainilla,2
2025-10-30,Cafe_Grano_1kg,14
2025-10-30,Vasos_Descartables_8oz,194
2025-10-30,Leche_Almendra_1L,27
2025-10-30,Azucar_Blanca_500g,5
2025-10-30,Jarabe_Vainilla,2
2025-10-31,Cafe_Grano_1kg,15
2025-10-31,Vasos_Descartables_8oz,193
2025-10-31,Leche_Almendra_1L,22
2025-10-31,Azucar_Blanca_500g,8
2025-10-31,Jarabe_Vainilla,2
2025-11-01,Cafe_Grano_1kg,22
2025-11-01,Vasos_Descartables_8oz,232
2025-11-01,Leche_Almendra_1L,24
2025-11-01,Azucar_Blanca_500g,8
2025-11-01,Jarabe_Vainilla,2
2025-11-02,Cafe_Grano_1kg,11
2025-11-02,Vasos_Descartables_8oz,224
2025-11-02,Leche_Almendra_1L,33
2025-11-02,Azucar_Blanca_500g,8
2025-11-02,Jarabe_Vainilla,2
2025-11-03,Cafe_Grano_1kg,13
2025-11-03,Vasos_Descartables_8oz,173
2025-11-03,Leche_Almendra_1L,31
2025-11-03,Azucar_Blanca_500g,5
2025-11-03,Jarabe_Vainilla,1
2025-11-04,Cafe_Grano_1kg,20
2025-11-04,Vasos_Descartables_8oz,228
2025-11-04,Leche_Almendra_1L,35
2025-11-04,Azucar_Blanca_500g,8
2025-11-04,Jarabe_Vainilla,1
2025-11-05,Cafe_Grano_1kg,12
2025-11-05,Vasos_Descartables_8oz,188
2025-11-05,Leche_Almendra_1L,29
2025-11-05,Azucar_Blanca_500g,5
2025-11-05,Jarabe_Vainilla,4
2025-11-06,Cafe_Grano_1kg,23
2025-11-06,Vasos_Descartables_8oz,204
2025-11-06,Leche_Almendra_1L,25
2025-11-06,Azucar_Blanca_500g,4
2025-11-06,Jarabe_Vainilla,6
2025-11-07,Cafe_Grano_1kg,17
2025-11-07,Vasos_Descartables_8oz,214
2025-11-07,Leche_Almendra_1L,25
2025-11-07,Azucar_Blanca_500g,5
2025-11-07,Jarabe_Vainilla,6
2025-11-08,Cafe_Grano_1kg,14
2025-11-08,Vasos_Descartables_8oz,190
2025-11-08,Leche_Almendra_1L,30
2025-11-08,Azucar_Blanca_500g,4
2025-11-08,Jarabe_Vainilla,5
2025-11-09,Cafe_Grano_1kg,12
2025-11-09,Vasos_Descartables_8oz,213
2025-11-09,Leche_Almendra_1L,33
2025-11-09,Azucar_Blanca_500g,7
2025-11-09,Jarabe_Vainilla,2
2025-11-10,Cafe_Grano_1kg,18
2025-11-10,Vasos_Descartables_8oz,215
2025-11-10,Leche_Almendra_1L,30
2025-11-10,Azucar_Blanca_500g,8
2025-11-10,Jarabe_Vainilla,6
2025-11-11,Cafe_Grano_1kg,8
2025-11-11,Vasos_Descartables_8oz,209
2025-11-11,Leche_Almendra_1L,31
2025-11-11,Azucar_Blanca_500g,6
2025-11-11,Jarabe_Vainilla,1
2025-11-12,Cafe_Grano_1kg,15
2025-11-12,Vasos_Descartables_8oz,208
2025-11-12,Leche_Almendra_1L,29
2025-11-12,Azucar_Blanca_500g,4
2025-11-12,Jarabe_Vainilla,4
2025-11-13,Cafe_Grano_1kg,14
2025-11-13,Vasos_Descartables_8oz,197
2025-11-13,Leche_Almendra_1L,28
2025-11-13,Azucar_Blanca_500g,5
2025-11-13,Jarabe_Vainilla,5
2025-11-14,Cafe_Grano_1kg,18
2025-11-14,Vasos_Descartables_8oz,182
2025-11-14,Leche_Almendra_1L,39
2025-11-14,Azucar_Blanca_500g,3
2025-11-14,Jarabe_Vainilla,3
2025-11-15,Cafe_Grano_1kg,12
2025-11-15,Vasos_Descartables_8oz,192
2025-11-15,Leche_Almendra_1L,28
2025-11-15,Azucar_Blanca_500g,5
2025-11-15,Jarabe_Vainilla,2
2025-11-16,Cafe_Grano_1kg,15
2025-11-16,Vasos_Descartables_8oz,209
2025-11-16,Leche_Almendra_1L,30
2025-11-16,Azucar_Blanca_500g,2
2025-11-16,Jarabe_Vainilla,2
2025-11-17,Cafe_Grano_1kg,17
2025-11-17,Vasos_Descartables_8oz,186
2025-11-17,Leche_Almendra_1L,22
2025-11-17,Azucar_Blanca_500g,3
2025-11-17,Jarabe_Vainilla,7
2025-11-18,Cafe_Grano_1kg,21
2025-11-18,Vasos_Descartables_8oz,215
2025-11-18,Leche_Almendra_1L,32
2025-11-18,Azucar_Blanca_500g,2
2025-11-18,Jarabe_Vainilla,1
2025-11-19,Cafe_Grano_1kg,20
2025-11-19,Vasos_Descartables_8oz,185
2025-11-19,Leche_Almendra_1L,33
2025-11-19,Azucar_Blanca_500g,8
2025-11-19,Jarabe_Vainilla,0
2025-11-20,Cafe_Grano_1kg,12
2025-11-20,Vasos_Descartables_8oz,218
2025-11-20,Leche_Almendra_1L,34
2025-11-20,Azucar_Blanca_500g,3
2025-11-20,Jarabe_Vainilla,7
2025-11-21,Cafe_Grano_1kg,12
2025-11-21,Vasos_Descartables_8oz,223
2025-11-21,Leche_Almendra_1L,32
2025-11-21,Azucar_Blanca_500g,5
2025-11-21,Jarabe_Vainilla,4
2025-11-22,Cafe_Grano_1kg,20
2025-11-22,Vasos_Descartables_8oz,201
2025-11-22,Leche_Almendra_1L,31
2025-11-22,Azucar_Blanca_500g,6
2025-11-22,Jarabe_Vainilla,3
2025-11-23,Cafe_Grano_1kg,11
2025-11-23,Vasos_Descartables_8oz,193
2025-11-23,Leche_Almendra_1L,29
2025-11-23,Azucar_Blanca_500g,4
2025-11-23,Jarabe_Vainilla,7
2025-11-24,Cafe_Grano_1kg,9
2025-11-24,Vasos_Descartables_8oz,170
2025-11-24,Leche_Almendra_1L,41
2025-11-24,Azucar_Blanca_500g,5
2025-11-24,Jarabe_Vainilla,3
2025-11-25,Cafe_Grano_1kg,24
2025-11-25,Vasos_Descartables_8oz,218
2025-11-25,Leche_Almendra_1L,30
2025-11-25,Azucar_Blanca_500g,2
2025-11-25,Jarabe_Vainilla,2
2025-11-26,Cafe_Grano_1kg,9
2025-11-26,Vasos_Descartables_8oz,198
2025-11-26,Leche_Almendra_1L,24
2025-11-26,Azucar_Blanca_500g,7
2025-11-26,Jarabe_Vainilla,5
2025-11-27,Cafe_Grano_1kg,17
2025-11-27,Vasos_Descartables_8oz,196
2025-11-27,Leche_Almendra_1L,35
2025-11-27,Azucar_Blanca_500g,10
2025-11-27,Jarabe_Vainilla,1
2025-11-28,Cafe_Grano_1kg,13
2025-11-28,Vasos_Descartables_8oz,196
2025-11-28,Leche_Almendra_1L,28
2025-11-28,Azucar_Blanca_500g,3
2025-11-28,Jarabe_Vainilla,4
2025-11-29,Cafe_Grano_1kg,20
2025-11-29,Vasos_Descartables_8oz,199
2025-11-29,Leche_Almendra_1L,27
2025-11-29,Azucar_Blanca_500g,8
2025-11-29,Jarabe_Vainilla,1
2025-11-30,Cafe_Grano_1kg,13
2025-11-30,Vasos_Descartables_8oz,199
2025-11-30,Leche_Almendra_1L,26
2025-11-30,Azucar_Blanca_500g,6
2025-11-30,Jarabe_Vainilla,1
2025-12-01,Cafe_Grano_1kg,17
2025-12-01,Vasos_Descartables_8oz,201
2025-12-01,Leche_Almendra_1L,22
2025-12-01,Azucar_Blanca_500g,5
2025-12-01,Jarabe_Vainilla,6
2025-12-02,Cafe_Grano_1kg,16
2025-12-02,Vasos_Descartables_8oz,194
2025-12-02,Leche_Almendra_1L,35
2025-12-02,Azucar_Blanca_500g,5
2025-12-02,Jarabe_Vainilla,4
2025-12-03,Cafe_Grano_1kg,9
2025-12-03,Vasos_Descartables_8oz,206
2025-12-03,Leche_Almendra_1L,31
2025-12-03,Azucar_Blanca_500g,6
2025-12-03,Jarabe_Vainilla,4
2025-12-04,Cafe_Grano_1kg,9
2025-12-04,Vasos_Descartables_8oz,203
2025-12-04,Leche_Almendra_1L,20
2025-12-04,Azucar_Blanca_500g,4
2025-12-04,Jarabe_Vainilla,1
2025-12-05,Cafe_Grano_1kg,8
2025-12-05,Vasos_Descartables_8oz,188
2025-12-05,Leche_Almendra_1L,38
2025-12-05,Azucar_Blanca_500g,8
2025-12-05,Jarabe_Vainilla,1
2025-12-06,Cafe_Grano_1kg,24
2025-12-06,Vasos_Descartables_8oz,208
2025-12-06,Leche_Almendra_1L,31
2025-12-06,Azucar_Blanca_500g,7
2025-12-06,Jarabe_Vainilla,5
2025-12-07,Cafe_Grano_1kg,16
2025-12-07,Vasos_Descartables_8oz,211
2025-12-07,Leche_Almendra_1L,33
2025-12-07,Azucar_Blanca_500g,3
2025-12-07,Jarabe_Vainilla,4
2025-12-08,Cafe_Grano_1kg,16
2025-12-08,Vasos_Descartables_8oz,224
2025-12-08,Leche_Almendra_1L,28
2025-12-08,Azucar_Blanca_500g,5
2025-12-08,Jarabe_Vainilla,2
2025-12-09,Cafe_Grano_1kg,19
2025-12-09,Vasos_Descartables_8oz,199
2025-12-09,Leche_Almendra_1L,35
2025-12-09,Azucar_Blanca_500g,4
2025-12-09,Jarabe_Vainilla,0
2025-12-10,Cafe_Grano_1kg,14
2025-12-10,Vasos_Descartables_8oz,200
2025-12-10,Leche_Almendra_1L,22
2025-12-10,Azucar_Blanca_500g,4
2025-12-10,Jarabe_Vainilla,2
2025-12-11,Cafe_Grano_1kg,12
2025-12-11,Vasos_Descartables_8oz,181
2025-12-11,Leche_Almendra_1L,22
2025-12-11,Azucar_Blanca_500g,5
2025-12-11,Jarabe_Vainilla,3
2025-12-12,Cafe_Grano_1kg,20
2025-12-12,Vasos_Descartables_8oz,186
2025-12-12,Leche_Almendra_1L,29
2025-12-12,Azucar_Blanca_500g,2
2025-12-12,Jarabe_Vainilla,2
2025-12-13,Cafe_Grano_1kg,12
2025-12-13,Vasos_Descartables_8oz,182
2025-12-13,Leche_Almendra_1L,25
2025-12-13,Azucar_Blanca_500g,6
2025-12-13,Jarabe_Vainilla,2
2025-12-14,Cafe_Grano_1kg,15
2025-12-14,Vasos_Descartables_8oz,193
2025-12-14,Leche_Almendra_1L,30
2025-12-14,Azucar_Blanca_500g,9
2025-12-14,Jarabe_Vainilla,1
2025-12-15,Cafe_Grano_1kg,21
2025-12-15,Vasos_Descartables_8oz,206
2025-12-15,Leche_Almendra_1L,38
2025-12-15,Azucar_Blanca_500g,3
2025-12-15,Jarabe_Vainilla,3
2025-12-16,Cafe_Grano_1kg,8
2025-12-16,Vasos_Descartables_8oz,210
2025-12-16,Leche_Almendra_1L,26
2025-12-16,Azucar_Blanca_500g,4
2025-12-16,Jarabe_Vainilla,3
2025-12-17,Cafe_Grano_1kg,12
2025-12-17,Vasos_Descartables_8oz,205
2025-12-17,Leche_Almendra_1L,25
2025-12-17,Azucar_Blanca_500g,5
2025-12-17,Jarabe_Vainilla,6
2025-12-18,Cafe_Grano_1kg,17
2025-12-18,Vasos_Descartables_8oz,193
2025-12-18,Leche_Almendra_1L,25
2025-12-18,Azucar_Blanca_500g,5
2025-12-18,Jarabe_Vainilla,3
2025-12-19,Cafe_Grano_1kg,12
2025-12-19,Vasos_Descartables_8oz,198
2025-12-19,Leche_Almendra_1L,34
2025-12-19,Azucar_Blanca_500g,5
2025-12-19,Jarabe_Vainilla,1
2025-12-20,Cafe_Grano_1kg,11
2025-12-20,Vasos_Descartables_8oz,216
2025-12-20,Leche_Almendra_1L,31
2025-12-20,Azucar_Blanca_500g,7
2025-12-20,Jarabe_Vainilla,1
2025-12-21,Cafe_Grano_1kg,12
2025-12-21,Vasos_Descartables_8oz,196
2025-12-21,Leche_Almendra_1L,25
2025-12-21,Azucar_Blanca_500g,6
2025-12-21,Jarabe_Vainilla,1
2025-12-22,Cafe_Grano_1kg,18
2025-12-22,Vasos_Descartables_8oz,235
2025-12-22,Leche_Almendra_1L,27
2025-12-22,Azucar_Blanca_500g,8
2025-12-22,Jarabe_Vainilla,2
2025-12-23,Cafe_Grano_1kg,16
2025-12-23,Vasos_Descartables_8oz,213
2025-12-23,Leche_Almendra_1L,31
2025-12-23,Azucar_Blanca_500g,5
2025-12-23,Jarabe_Vainilla,5
2025-12-24,Cafe_Grano_1kg,7
2025-12-24,Vasos_Descartables_8oz,213
2025-12-24,Leche_Almendra_1L,35
2025-12-24,Azucar_Blanca_500g,4
2025-12-24,Jarabe_Vainilla,6
2025-12-25,Cafe_Grano_1kg,17
2025-12-25,Vasos_Descartables_8oz,180
2025-12-25,Leche_Almendra_1L,36
2025-12-25,Azucar_Blanca_500g,5
2025-12-25,Jarabe_Vainilla,0
2025-12-26,Cafe_Grano_1kg,19
2025-12-26,Vasos_Descartables_8oz,201
2025-12-26,Leche_Almendra_1L,41
2025-12-26,Azucar_Blanca_500g,7
2025-12-26,Jarabe_Vainilla,2
2025-12-27,Cafe_Grano_1kg,14
2025-12-27,Vasos_Descartables_8oz,212
2025-12-27,Leche_Almendra_1L,32
2025-12-27,Azucar_Blanca_500g,4
2025-12-27,Jarabe_Vainilla,2
2025-12-28,Cafe_Grano_1kg,21
2025-12-28,Vasos_Descartables_8oz,190
2025-12-28,Leche_Almendra_1L,29
2025-12-28,Azucar_Blanca_500g,2
2025-12-28,Jarabe_Vainilla,2
2025-12-29,Cafe_Grano_1kg,15
2025-12-29,Vasos_Descartables_8oz,194
2025-12-29,Leche_Almendra_1L,41
2025-12-29,Azucar_Blanca_500g,6
2025-12-29,Jarabe_Vainilla,5
2025-12-30,Cafe_Grano_1kg,10
2025-12-30,Vasos_Descartables_8oz,189
2025-12-30,Leche_Almendra_1L,31
2025-12-30,Azucar_Blanca_500g,3
2025-12-30,Jarabe_Vainilla,2
2025-12-31,Cafe_Grano_1kg,14
2025-12-31,Vasos_Descartables_8oz,217
2025-12-31,Leche_Almendra_1L,29
2025-12-31,Azucar_Blanca_500g,5
2025-12-31,Jarabe_Vainilla,1
2026-01-01,Cafe_Grano_1kg,11
2026-01-01,Vasos_Descartables_8oz,184
2026-01-01,Leche_Almendra_1L,34
2026-01-01,Azucar_Blanca_500g,8
2026-01-01,Jarabe_Vainilla,1
2026-01-02,Cafe_Grano_1kg,21
2026-01-02,Vasos_Descartables_8oz,200
2026-01-02,Leche_Almendra_1L,33
2026-01-02,Azucar_Blanca_500g,7
2026-01-02,Jarabe_Vainilla,5
2026-01-03,Cafe_Grano_1kg,17
2026-01-03,Vasos_Descartables_8oz,192
2026-01-03,Leche_Almendra_1L,39
2026-01-03,Azucar_Blanca_500g,3
2026-01-03,Jarabe_Vainilla,3
2026-01-04,Cafe_Grano_1kg,16
2026-01-04,Vasos_Descartables_8oz,220
2026-01-04,Leche_Almendra_1L,33
2026-01-04,Azucar_Blanca_500g,4
2026-01-04,Jarabe_Vainilla,4
2026-01-05,Cafe_Grano_1kg,18
2026-01-05,Vasos_Descartables_8oz,217
2026-01-05,Leche_Almendra_1L,31
2026-01-05,Azucar_Blanca_500g,7
2026-01-05,Jarabe_Vainilla,3
2026-01-06,Cafe_Grano_1kg,12
2026-01-06,Vasos_Descartables_8oz,194
2026-01-06,Leche_Almendra_1L,34
2026-01-06,Azucar_Blanca_500g,7
2026-01-06,Jarabe_Vainilla,2
